transaction_id,scenario,expected_status,rule_decision,final_decision,ai_status,ai_provider,system_decision,correct
TXN0090,amount_mismatch,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0091,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0092,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0093,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0094,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0095,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0096,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0097,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0098,refund,MATCH,MATCH,,,,MATCH,True
TXN0099,refund,MATCH,MATCH,,,,MATCH,True
TXN0100,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0101,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0102,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0103,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0104,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0105,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0106,missing_bank,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0107,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0108,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0109,multiple_settlements,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0110,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0111,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0112,refund,MATCH,MATCH,,,,MATCH,True
TXN0113,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0114,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0115,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0116,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0117,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0118,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0119,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0120,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0121,amount_mismatch,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0122,amount_mismatch,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0123,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0124,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0125,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0126,amount_mismatch,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0127,refund,MATCH,MATCH,,,,MATCH,True
TXN0128,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0129,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0130,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0131,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0132,missing_bank,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0133,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0134,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0135,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0136,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0137,refund,MATCH,MATCH,,,,MATCH,True
TXN0138,missing_bank,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0139,amount_mismatch,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0140,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0141,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0142,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0143,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0144,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0145,missing_bank,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0146,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0147,refund,MATCH,MATCH,,,,MATCH,True
TXN0148,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0149,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0150,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0151,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0152,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0153,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0154,amount_mismatch,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0155,refund,MATCH,MATCH,,,,MATCH,True
TXN0156,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0157,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0158,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0159,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0160,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0161,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0162,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0163,refund,MATCH,MATCH,,,,MATCH,True
TXN0164,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0165,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0166,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0167,refund,MATCH,MATCH,,,,MATCH,True
TXN0168,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0169,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0170,refund,MATCH,MATCH,,,,MATCH,True
TXN0171,amount_mismatch,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0172,refund,MATCH,MATCH,,,,MATCH,True
TXN0173,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0174,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0175,amount_mismatch,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0176,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0177,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0178,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0179,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0180,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0181,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0182,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0183,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0184,amount_mismatch,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0185,refund,MATCH,MATCH,,,,MATCH,True
TXN0186,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0187,amount_mismatch,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0188,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0189,missing_bank,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0190,missing_bank,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0191,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0192,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0193,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0194,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0195,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0196,refund,MATCH,MATCH,,,,MATCH,True
TXN0197,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0198,multiple_settlements,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0199,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0200,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0201,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0202,amount_mismatch,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0203,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0204,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0205,multiple_settlements,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0206,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0207,refund,MATCH,MATCH,,,,MATCH,True
TXN0208,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0209,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0210,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0211,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0212,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0213,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0214,amount_mismatch,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0215,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0216,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0217,amount_mismatch,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0218,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0219,missing_bank,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GROQ,EXCEPTION,True
TXN0220,missing_bank,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GROQ,EXCEPTION,True
TXN0221,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0222,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0223,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0224,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0225,refund,MATCH,MATCH,,,,MATCH,True
TXN0226,amount_mismatch,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GROQ,EXCEPTION,True
TXN0227,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0228,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0229,missing_bank,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0230,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0231,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0232,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0233,missing_bank,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0234,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0235,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0236,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0237,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0238,multiple_settlements,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0239,refund,MATCH,MATCH,,,,MATCH,True
TXN0240,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0241,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0242,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0243,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0244,multiple_settlements,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0245,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0246,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0247,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0248,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0249,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0250,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0251,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0252,multiple_settlements,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0253,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0254,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0255,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0256,amount_mismatch,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0257,multiple_settlements,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0258,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0259,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0260,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0261,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0262,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0263,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0264,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0265,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0266,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0267,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0268,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0269,amount_mismatch,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0270,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0271,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0272,multiple_settlements,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0273,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0274,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0275,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0276,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0277,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0278,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0279,amount_mismatch,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0280,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0281,refund,MATCH,MATCH,,,,MATCH,True
TXN0282,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0283,missing_bank,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0284,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0285,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0286,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0287,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0288,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0289,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0290,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0291,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0292,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0293,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0294,refund,MATCH,MATCH,,,,MATCH,True
TXN0295,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0296,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0297,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0298,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0299,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0300,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0301,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0302,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0303,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0304,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0305,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0306,refund,MATCH,MATCH,,,,MATCH,True
TXN0307,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0308,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0309,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0310,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0311,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0312,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0313,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0314,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0315,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0316,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0317,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0318,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0319,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0320,refund,MATCH,MATCH,,,,MATCH,True
TXN0321,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0322,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0323,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0324,multiple_settlements,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0325,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0326,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0327,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0328,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0329,amount_mismatch,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0330,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0331,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0332,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0333,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0334,missing_bank,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0335,refund,MATCH,MATCH,,,,MATCH,True
TXN0336,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0337,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0338,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0339,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0340,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0341,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0342,refund,MATCH,MATCH,,,,MATCH,True
TXN0343,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0344,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0345,refund,MATCH,MATCH,,,,MATCH,True
TXN0346,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0347,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0348,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0349,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0350,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0351,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0352,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0353,amount_mismatch,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0354,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0355,missing_bank,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GROQ,EXCEPTION,True
TXN0356,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0357,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0358,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0359,refund,MATCH,MATCH,,,,MATCH,True
TXN0360,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0361,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0362,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0363,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0364,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0365,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0366,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0367,missing_bank,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GROQ,EXCEPTION,True
TXN0368,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0369,multiple_settlements,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0370,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0371,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0372,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0373,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0374,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0375,exact_match,MATCH,MATCH,,,,MATCH,True
